nprobe,Name,Method,Dim,N_sample,nList,DB Size (GB),Time kNN,Recall@10,Total,Train time,Add time,Erro,Move time
0.0,SK-1M-12d,brute,12.0,1000000.0,0.0,0.048,9.598725080490112,-,9.598725080490112,,,,
5.0,SK-1M-12d,ivfflat,12.0,1000000.0,4096.0,0.048,0.4300057888031006,0.3715344,3.540977001190185,1.944656610488892,1.1663146018981934,,
10.0,SK-1M-12d,ivfflat,12.0,1000000.0,4096.0,0.048,0.6698904037475586,0.5688079,3.5350325107574463,1.8251142501831052,1.0400278568267822,,
25.0,SK-1M-12d,ivfflat,12.0,1000000.0,4096.0,0.048,1.3305187225341797,0.8745657,4.323131084442139,1.807992935180664,1.184619426727295,,
50.0,SK-1M-12d,ivfflat,12.0,1000000.0,4096.0,0.048,2.373800277709961,0.9817824,5.517998218536377,1.84412145614624,1.3000764846801758,,
75.0,SK-1M-12d,ivfflat,12.0,1000000.0,4096.0,0.048,3.363997220993042,0.9953888,6.283171653747559,1.8099443912506104,1.1092300415039062,,
100.0,SK-1M-12d,ivfflat,12.0,1000000.0,4096.0,0.048,4.385421514511108,0.9974406,7.228781223297119,1.7949392795562744,1.0484204292297363,,
5.0,SK-1M-12d,ivfpq,12.0,1000000.0,4096.0,0.048,0.3923161029815674,0.3469769,19.245508909225464,17.7161226272583,1.1370701789855957,,
10.0,SK-1M-12d,ivfpq,12.0,1000000.0,4096.0,0.048,0.5587539672851562,0.51005,17.54109787940979,15.819926977157593,1.162416934967041,,
25.0,SK-1M-12d,ivfpq,12.0,1000000.0,4096.0,0.048,1.0284640789031982,0.7384081,20.10377025604248,17.625190258026123,1.4501159191131592,,
50.0,SK-1M-12d,ivfpq,12.0,1000000.0,4096.0,0.048,1.7093894481658936,0.8137455,20.26323866844177,17.398072719573975,1.1557765007019043,,
75.0,SK-1M-12d,ivfpq,12.0,1000000.0,4096.0,0.048,2.406827449798584,0.8235439,21.161880016326904,17.559873819351196,1.195178747177124,,
100.0,SK-1M-12d,ivfpq,12.0,1000000.0,4096.0,0.048,3.1300010681152344,0.8250467,21.77136611938477,17.441516637802124,1.1998484134674072,,
5.0,SK-1M-12d,ivfsq,12.0,1000000.0,4096.0,0.048,0.4012000560760498,0.3453956,5.785098552703857,4.396773815155029,0.9871246814727784,,
10.0,SK-1M-12d,ivfsq,12.0,1000000.0,4096.0,0.048,0.6391603946685791,0.5043551,6.106836557388306,4.169739007949829,1.2979371547698977,,
25.0,SK-1M-12d,ivfsq,12.0,1000000.0,4096.0,0.048,1.1289269924163818,0.7158006,6.418298006057739,4.2552490234375,1.0341219902038574,,
50.0,SK-1M-12d,ivfsq,12.0,1000000.0,4096.0,0.048,1.935131788253784,0.7781788,7.262449264526367,4.096733570098877,1.230583906173706,,
75.0,SK-1M-12d,ivfsq,12.0,1000000.0,4096.0,0.048,2.7590343952178955,0.785264,7.944685935974121,4.256060838699341,0.9295907020568848,,
100.0,SK-1M-12d,ivfsq,12.0,1000000.0,4096.0,0.048,3.5717997550964355,0.7862609,8.746602058410645,4.207948923110962,0.9668533802032472,,
0.0,SK-10M-12d,brute,12.0,10000000.0,0.0,0.48,881.3127360343933,-,881.3127360343933,,,,
5.0,SK-10M-12d,ivfflat,12.0,10000000.0,16384.0,0.48,8.692131519317627,0.35890395,38.397069692611694,16.11918354034424,13.585754632949827,,
10.0,SK-10M-12d,ivfflat,12.0,10000000.0,16384.0,0.48,14.787446022033691,0.54574378,43.6322546005249,16.107394695281982,12.737413883209229,,
25.0,SK-10M-12d,ivfflat,12.0,10000000.0,16384.0,0.48,31.60949397087097,0.84655957,61.76047134399414,16.18301272392273,13.96796464920044,,
50.0,SK-10M-12d,ivfflat,12.0,10000000.0,16384.0,0.48,31.60949397087097,0.84655957,61.76047134399414,16.18301272392273,13.96796464920044,"Exception thrown from index 0: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 8000001600 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type IVFLists: 32768 allocations, 742294080 bytes
Alloc type Other: 3 allocations, 960000192 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 1333333600 bytes

Exception thrown from index 1: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 8000001600 bytes on device 1 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type IVFLists: 32768 allocations, 742294080 bytes
Alloc type Other: 3 allocations, 960000192 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 1333333600 bytes

Exception thrown from index 2: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 7999996800 bytes on device 2 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type IVFLists: 32768 allocations, 742294080 bytes
Alloc type Other: 3 allocations, 959999616 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 1333332800 bytes

",
75.0,SK-10M-12d,ivfflat,12.0,10000000.0,16384.0,0.48,31.60949397087097,0.84655957,61.76047134399414,16.18301272392273,13.96796464920044,"Exception thrown from index 0: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 12000002400 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type IVFLists: 32768 allocations, 742294080 bytes
Alloc type Other: 3 allocations, 960000192 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 2000000416 bytes

Exception thrown from index 1: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 12000002400 bytes on device 1 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 2000000416 bytes
Alloc type IVFLists: 32768 allocations, 742294080 bytes
Alloc type Other: 3 allocations, 960000192 bytes

Exception thrown from index 2: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 11999995200 bytes on device 2 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type IVFLists: 32768 allocations, 742294080 bytes
Alloc type Other: 3 allocations, 959999616 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 1999999200 bytes

",
100.0,SK-10M-12d,ivfflat,12.0,10000000.0,16384.0,0.48,31.60949397087097,0.84655957,61.76047134399414,16.18301272392273,13.96796464920044,"Exception thrown from index 0: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 16000003200 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type IVFLists: 32768 allocations, 742294080 bytes
Alloc type Other: 3 allocations, 960000192 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 2666667200 bytes

Exception thrown from index 1: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 16000003200 bytes on device 1 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type Other: 3 allocations, 960000192 bytes
Alloc type IVFLists: 32768 allocations, 742294080 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 2666667200 bytes

Exception thrown from index 2: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 15999993600 bytes on device 2 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type Other: 3 allocations, 959999616 bytes
Alloc type IVFLists: 32768 allocations, 742294080 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 2666665600 bytes

",
5.0,SK-10M-12d,ivfpq,12.0,10000000.0,16384.0,0.48,5.501286268234253,0.33369493,54.185853004455566,34.882726192474365,13.801840543746948,,
10.0,SK-10M-12d,ivfpq,12.0,10000000.0,16384.0,0.48,8.029582977294922,0.48618809,55.30770349502564,32.802595138549805,14.475525379180908,,
25.0,SK-10M-12d,ivfpq,12.0,10000000.0,16384.0,0.48,13.51622724533081,0.70469115,62.1604208946228,34.6543345451355,13.989859104156494,,
50.0,SK-10M-12d,ivfpq,12.0,10000000.0,16384.0,0.48,25.24028491973877,0.78687095,72.33433198928833,33.06173753738403,14.032309532165527,,
75.0,SK-10M-12d,ivfpq,12.0,10000000.0,16384.0,0.48,34.59871768951416,0.80048465,83.52710556983948,34.82820200920105,14.100185871124268,,
100.0,SK-10M-12d,ivfpq,12.0,10000000.0,16384.0,0.48,51.9512403011322,0.80322408,100.50234866142272,33.141233682632446,15.40987467765808,,
5.0,SK-10M-12d,ivfsq,12.0,10000000.0,16384.0,0.48,8.254997730255127,0.33212762,42.38806486129761,20.78182625770569,13.351240873336792,,
10.0,SK-10M-12d,ivfsq,12.0,10000000.0,16384.0,0.48,12.963881015777588,0.48067584,47.5642192363739,20.759202003479004,13.84113621711731,,
25.0,SK-10M-12d,ivfsq,12.0,10000000.0,16384.0,0.48,26.81344413757324,0.68604365,60.22006320953369,20.61074709892273,12.79587197303772,,
50.0,SK-10M-12d,ivfsq,12.0,10000000.0,16384.0,0.48,26.81344413757324,0.68604365,60.22006320953369,20.61074709892273,12.79587197303772,"Exception thrown from index 0: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 8000001600 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type Quantizer: 1 allocations, 96 bytes
Alloc type IVFLists: 32768 allocations, 288922656 bytes
Alloc type Other: 3 allocations, 960000192 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 1333333600 bytes

Exception thrown from index 1: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 8000001600 bytes on device 1 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type Quantizer: 1 allocations, 96 bytes
Alloc type IVFLists: 32768 allocations, 288922656 bytes
Alloc type Other: 3 allocations, 960000192 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 1333333600 bytes

Exception thrown from index 2: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 7999996800 bytes on device 2 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type Quantizer: 1 allocations, 96 bytes
Alloc type IVFLists: 32768 allocations, 288922656 bytes
Alloc type Other: 3 allocations, 959999616 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 1333332800 bytes

",
75.0,SK-10M-12d,ivfsq,12.0,10000000.0,16384.0,0.48,26.81344413757324,0.68604365,60.22006320953369,20.61074709892273,12.79587197303772,"Exception thrown from index 0: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 12000002400 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type Quantizer: 1 allocations, 96 bytes
Alloc type Other: 3 allocations, 960000192 bytes
Alloc type IVFLists: 32768 allocations, 288922656 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 2000000416 bytes

Exception thrown from index 1: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 12000002400 bytes on device 1 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type Quantizer: 1 allocations, 96 bytes
Alloc type IVFLists: 32768 allocations, 288922656 bytes
Alloc type Other: 3 allocations, 960000192 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 2000000416 bytes

Exception thrown from index 2: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 11999995200 bytes on device 2 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type Quantizer: 1 allocations, 96 bytes
Alloc type IVFLists: 32768 allocations, 288922656 bytes
Alloc type Other: 3 allocations, 959999616 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 1999999200 bytes

",
100.0,SK-10M-12d,ivfsq,12.0,10000000.0,16384.0,0.48,26.81344413757324,0.68604365,60.22006320953369,20.61074709892273,12.79587197303772,"Exception thrown from index 0: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 16000003200 bytes on device 0 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type Quantizer: 1 allocations, 96 bytes
Alloc type IVFLists: 32768 allocations, 288922656 bytes
Alloc type Other: 3 allocations, 960000192 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 2666667200 bytes

Exception thrown from index 1: Error in virtual void* faiss::gpu::StandardGpuResourcesImpl::allocMemory(const faiss::gpu::AllocRequest&) at /home/conda/feedstock_root/build_artifacts/faiss-split_1637390707745/work/faiss/gpu/StandardGpuResources.cpp:410: Error: 'err == cudaSuccess' failed: Failed to cudaMalloc 16000003200 bytes on device 1 (error 2 out of memory
Outstanding allocations:
Alloc type TemporaryMemoryBuffer: 1 allocations, 1073741824 bytes
Alloc type FlatData: 2 allocations, 851968 bytes
Alloc type Quantizer: 1 allocations, 96 bytes
Alloc type TemporaryMemoryOverflow: 2 allocations, 2666667200 bytes
Alloc type IVFLists: 32768 allocations, 288922656 bytes
Alloc type Other: 3 allocations, 960000192 bytes

